"Gene_ID","Gene_Name","Transcript_A","Transcript_B","COEX_Score","P_Value","Enriched_Cell_Types_A","Enriched_Cell_Types_B","Max_Contrast_A","Max_Contrast_B"
"ENSG00000140416","TPM1","ENST00000334895","ENST00000358278",-0.100636601448059,7.72157050404565e-67,"DV90; HCC78; HTB178","A549; CCL-185-IG",0.329538245174118,0.614279242673019
"ENSG00000147403","RPL10","ENST00000406022","ENST00000458500",-0.0859851837158203,2.77669269287427e-49,"A549","HCC78; PC9",0.222217540840733,0.46183163204511
"ENSG00000147403","RPL10","ENST00000458500","ENST00000491035",-0.083819180727005,6.41033454613533e-47,"HCC78; PC9","A549; PBMCs",0.464430140635135,0.2476202841844
"ENSG00000140416","TPM1","ENST00000404484","ENST00000651344",-0.0736960172653198,1.15001646522385e-36,"HCC78; HTB178","A549; CCL-185-IG",0.267498944103377,0.370539851598147
"ENSG00000140416","TPM1","ENST00000317516","ENST00000651344",-0.0675561353564262,4.41496261510119e-31,"HCC78; HTB178","A549; CCL-185-IG",0.275462099809663,0.363187233052744
"ENSG00000138326","RPS24","ENST00000360830","ENST00000465692",-0.05111088976264,1.75931549215298e-18,"DV90; HCC78","CCL-185-IG; HTB178; PBMCs",0.284770191601183,0.302070918842737
"ENSG00000140416","TPM1","ENST00000288398","ENST00000334895",-0.0466829910874367,1.13029444071947e-15,"A549; CCL-185-IG","HTB178",0.301752733903666,0.206436909047563
"ENSG00000140416","TPM1","ENST00000560959","ENST00000651344",-0.0435113608837128,8.17372461157832e-14,"HCC78; HTB178","A549; CCL-185-IG",0.219705232743246,0.317377912155022
"ENSG00000138326","RPS24","ENST00000360830","ENST00000482069",-0.0398313291370869,8.14806899484826e-12,"DV90; HCC78","CCL-185-IG; HTB178; PBMCs",0.276590106937807,0.280116078650646
"ENSG00000140416","TPM1","ENST00000334895","ENST00000651344",-0.0397707782685757,8.7602719884875e-12,"DV90; HCC78; HTB178","A549; CCL-185-IG",0.277338431473053,0.435025148656717
"ENSG00000125868","DSTN","ENST00000449141","ENST00000474024",-0.0385480858385563,3.6982980704415e-11,"HTB178","CCL-185-IG",0.277597513971622,0.21891895656963
"ENSG00000130066","SAT1","ENST00000379253","ENST00000462639",-0.0380431301891804,6.61988487876291e-11,"A549","PC9",0.26158802361472,0.267784372932466
"ENSG00000167460","TPM4","ENST00000645471","ENST00000646974",-0.0340196862816811,5.2667949304994e-09,"CCL-185-IG","HCC78",0.315304840391927,0.389173628832678
"ENSG00000130066","SAT1","ENST00000379251","ENST00000462639",-0.0313453525304794,7.46755863737098e-08,"A549","PC9",0.222946149383389,0.214601163151769
"ENSG00000130066","SAT1","ENST00000379270","ENST00000487713",-0.0311091635376215,9.34571317494123e-08,"A549","PC9",0.252514798165317,0.245112864009431
"ENSG00000182899","RPL35A","ENST00000429437","ENST00000642387",-0.0307931993156672,1.25855566485409e-07,"PC9","PBMCs",0.213305575593702,0.222477498629989
"ENSG00000140416","TPM1","ENST00000558544","ENST00000651344",-0.0191060490906239,0.00104171137904107,"HCC78; HTB178","A549; CCL-185-IG",0.234288328959569,0.325896349042614
"ENSG00000140416","TPM1","ENST00000358278","ENST00000558868",-0.0180448349565268,0.00195565834371962,"A549; CCL-185-IG","CRL5868; DV90; HCC78; HTB178",0.515700043338052,0.269780467956463
"ENSG00000203875","SNHG5","ENST00000654795","ENST00000664396",-0.0177133064717054,0.00236588076843765,"CCL-185-IG","PC9",0.231883778208352,0.280592083777928
"ENSG00000142937","RPS8","ENST00000372209","ENST00000485390",-0.0166853331029415,0.00418903057693248,"PC9","PBMCs",0.20643716740305,0.289015797843501
"ENSG00000140416","TPM1","ENST00000317516","ENST00000358278",-0.0119463754817843,0.0403393589350167,"DV90; HCC78; HTB178","A549; CCL-185-IG",0.327661913510728,0.542441327069045
