"tau","events","genes","mean_contrast","in_core","frac_in_core"
0.02,1823,392,0.0963412489290059,0,0
0.04,1237,280,0.117223165316575,0,0
0.06,713,183,0.144247456078339,0,0
0.08,401,113,0.172387231002398,0,0
0.1,230,67,0.201863949428914,0,0
0.12,146,45,0.227350443489461,0,0
0.14,81,27,0.268051770695004,0,0
0.16,53,17,0.293245743812687,0,0
0.18,39,14,0.306899865526082,0,0
0.2,21,9,0.356988116914264,0,0
0.2,21,9,0.356988116914264,0,0
0.22,15,6,0.391038856620824,0,0
0.24,12,5,0.399771898703892,0,0
0.26,10,4,0.408031784564625,0,0
0.28,4,3,0.46199127935437,0,0
0.3,3,2,0.515298066191581,0,0
0.32,2,1,0.578360284871032,0,0
0.34,0,0,NA,0,NA
0.36,0,0,NA,0,NA
0.38,0,0,NA,0,NA
0.4,0,0,NA,0,NA
0.42,0,0,NA,0,NA
0.44,0,0,NA,0,NA
0.46,0,0,NA,0,NA
0.48,0,0,NA,0,NA
0.5,0,0,NA,0,NA
