"Gene_ID","Gene_Name","Transcript_A","Transcript_B","COEX_Score","P_Value","Enriched_Cell_Types_A","Enriched_Cell_Types_B","Max_Contrast_A","Max_Contrast_B"
"ENSMUSG00000021268","Meg3","ENSMUST00000146701","ENSMUST00000246047",-0.173513665795326,1.58477257711549e-28,"07; 08; 09; 10; 11; 12; 13; 14; 15","-1; 02; 03; 04; 05; 06",0.27573842893893,0.563936962878607
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000146701",-0.160023406147957,1.65185536997982e-24,"-1; 02; 03; 04; 05; 06","07; 08; 09; 10; 11; 12; 13; 14; 15",0.560973440367685,0.274931204411644
"ENSMUSG00000092341","Malat1","ENSMUST00000173499","ENSMUST00000245771",-0.104165658354759,2.90866904473516e-11,"07; 09; 11; 12; 14","-1; 02; 03; 04; 05; 06",0.238366592792081,0.232768669727966
"ENSMUSG00000092341","Malat1","ENSMUST00000173499","ENSMUST00000245150",-0.0728428140282631,3.30145272640185e-06,"07; 08; 09; 10; 11; 12; 13; 14; 15","-1; 02; 03; 04; 05; 06",0.150600016670322,0.265192664315946
"ENSMUSG00000039218","Srrm2","ENSMUST00000088621","ENSMUST00000186961",-0.05929946154356,0.000152874436723684,"11","-1",0.101832404852261,0.0550540170203913
"ENSMUSG00000039218","Srrm2","ENSMUST00000088621","ENSMUST00000233636",-0.0586933195590973,0.00017849906699611,"11","-1",0.106390390322719,0.0509249236523304
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000247387",-0.0433006957173347,0.00569560283727536,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.44515139784938,0.164468277129347
"ENSMUSG00000063511","Snrnp70","ENSMUST00000074575","ENSMUST00000211178",-0.0423766262829304,0.0068138738638298,"03","14",0.063756286236831,0.0629676853191098
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246553",-0.0423276051878929,0.00687836703610533,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.444463051695073,0.162788907461674
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000245180",-0.0420389883220196,0.00726931969003666,"-1; 02; 03; 04; 05; 06","09; 11; 12",0.442045980939982,0.168953253541764
