Gene_ID,Gene_Name,Transcript_A_file1,Transcript_B_file1,COEX_Score_file1,P_Value_file1,Enriched_Cell_Types_A_file1,Enriched_Cell_Types_B_file1,Max_Contrast_A_file1,Max_Contrast_B_file1,Tr_min_file1,Tr_max_file1,DTU_ID,Transcript_A_file2,Transcript_B_file2,COEX_Score_file2,P_Value_file2,Enriched_Cell_Types_A_file2,Enriched_Cell_Types_B_file2,Max_Contrast_A_file2,Max_Contrast_B_file2,Tr_min_file2,Tr_max_file2,COEX_Diff
ENSMUSG00000021268,Meg3,ENSMUST00000146701,ENSMUST00000246047,-0.173513665795326,1.58477257711549e-28,07; 08; 09; 10; 11; 12,-1; 02; 03; 04; 05; 06,0.278827776141963,0.663113635493595,ENSMUST00000146701,ENSMUST00000246047,ENSMUSG00000021268___ENSMUST00000146701___ENSMUST00000246047,ENSMUST00000146701,ENSMUST00000246047,-0.173513665795326,1.58477257711549e-28,07; 08; 09; 10; 11; 12; 13; 14; 15,-1; 02; 03; 04; 05; 06,0.27573842893893,0.563936962878607,ENSMUST00000146701,ENSMUST00000246047,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000146701,-0.160023406147957,1.65185536997982e-24,-1; 02; 03; 04; 05; 06,07; 08; 09; 10; 11; 12,0.628498934459598,0.282083995521846,ENSMUST00000129245,ENSMUST00000146701,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000146701,ENSMUST00000129245,ENSMUST00000146701,-0.160023406147957,1.65185536997982e-24,-1; 02; 03; 04; 05; 06,07; 08; 09; 10; 11; 12; 13; 14; 15,0.560973440367685,0.274931204411644,ENSMUST00000129245,ENSMUST00000146701,0
ENSMUSG00000092341,Malat1,ENSMUST00000173499,ENSMUST00000245771,-0.104165658354759,2.9086690447351598e-11,08; 10; 11; 12,02; 04; 05; 06,0.266395780952275,0.28686630683954,ENSMUST00000173499,ENSMUST00000245771,ENSMUSG00000092341___ENSMUST00000173499___ENSMUST00000245771,ENSMUST00000173499,ENSMUST00000245771,-0.104165658354759,2.9086690447351598e-11,07; 09; 11; 12,-1; 02; 04; 05; 06,0.238366592792081,0.232768669727966,ENSMUST00000173499,ENSMUST00000245771,0
ENSMUSG00000092341,Malat1,ENSMUST00000173499,ENSMUST00000245150,-0.0728428140282631,3.30145272640185e-6,08; 09; 10; 11; 12,-1; 02; 04; 05; 06,0.169653886892997,0.291789997573747,ENSMUST00000173499,ENSMUST00000245150,ENSMUSG00000092341___ENSMUST00000173499___ENSMUST00000245150,ENSMUST00000173499,ENSMUST00000245150,-0.0728428140282631,3.30145272640185e-6,07; 08; 09; 10; 11; 12; 13; 14,-1; 02; 03; 04; 05; 06,0.150600016670322,0.265192664315946,ENSMUST00000173499,ENSMUST00000245150,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000247387,-0.0433006957173347,0.00569560283727536,02; 04; 05; 06,11; 12,0.337541489817411,0.291575003556661,ENSMUST00000129245,ENSMUST00000247387,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000247387,ENSMUST00000129245,ENSMUST00000247387,-0.0433006957173347,0.00569560283727536,-1; 02; 03; 04; 05; 06,09; 11; 12,0.44515139784938,0.164468277129347,ENSMUST00000129245,ENSMUST00000247387,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000246553,-0.0423276051878929,0.00687836703610533,02; 04; 05; 06,11; 12,0.335970884887812,0.291605612570819,ENSMUST00000129245,ENSMUST00000246553,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000246553,ENSMUST00000129245,ENSMUST00000246553,-0.0423276051878929,0.00687836703610533,-1; 02; 03; 04; 05; 06,09; 11; 12,0.444463051695073,0.162788907461674,ENSMUST00000129245,ENSMUST00000246553,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000245180,-0.0420389883220196,0.00726931969003666,02; 04; 05; 06,11; 12,0.330622881620579,0.29625176906071,ENSMUST00000129245,ENSMUST00000245180,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000245180,ENSMUST00000129245,ENSMUST00000245180,-0.0420389883220196,0.00726931969003666,-1; 02; 03; 04; 05; 06,09; 11; 12,0.442045980939982,0.168953253541764,ENSMUST00000129245,ENSMUST00000245180,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000246499,-0.0419463850557804,0.00739891785272675,02; 04; 05; 06,11; 12,0.330102346344955,0.292646799389146,ENSMUST00000129245,ENSMUST00000246499,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000246499,ENSMUST00000129245,ENSMUST00000246499,-0.0419463850557804,0.00739891785272675,-1; 02; 03; 04; 05; 06,09; 11; 12,0.44181327111412,0.167682852826832,ENSMUST00000129245,ENSMUST00000246499,0
ENSMUSG00000021268,Meg3,ENSMUST00000246047,ENSMUST00000247387,-0.0415597297251225,0.00796271946532261,02; 04; 05; 06,11; 12,0.372156190851407,0.288318784176778,ENSMUST00000246047,ENSMUST00000247387,ENSMUSG00000021268___ENSMUST00000246047___ENSMUST00000247387,ENSMUST00000246047,ENSMUST00000247387,-0.0415597297251225,0.00796271946532261,-1; 02; 03; 04; 05; 06,09; 11; 12,0.448114920360302,0.165275501656632,ENSMUST00000246047,ENSMUST00000247387,0
ENSMUSG00000021268,Meg3,ENSMUST00000129245,ENSMUST00000246427,-0.0410018749535084,0.00884398830473951,02; 04; 05; 06,11; 12,0.328260339146111,0.29286090272304,ENSMUST00000129245,ENSMUST00000246427,ENSMUSG00000021268___ENSMUST00000129245___ENSMUST00000246427,ENSMUST00000129245,ENSMUST00000246427,-0.0410018749535084,0.00884398830473951,-1; 02; 03; 04; 05; 06,09; 11; 12,0.441001965175821,0.163559692420353,ENSMUST00000129245,ENSMUST00000246427,0
