"","class","check.isCheckAbove","check.GDIThreshold","check.maxRatioBeyond","check.maxRankBeyond","check.fractionBeyond","check.thresholdRank","check.quantileAtRatio","check.quantileAtRank","isUniform","clusterSize"
"01_02-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0168099478047283,0,1.39906699368582,NaN,FALSE,283
"-1_06-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.32503574678279,0,2.45376245325116,NaN,FALSE,303
"08_09-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.00898203592814371,0,1.36782597373569,NaN,TRUE,302
"07_09-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.00320473314433625,0,1.34144757329459,NaN,TRUE,259
"08_12-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0346028797027404,0,1.43704417978534,NaN,FALSE,491
"07_08-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.00991371397099321,0,1.36962633989169,NaN,TRUE,243
"19_20-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0326950310941444,0,1.43250861263465,NaN,FALSE,278
"09_24-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.01427498121713,0,1.38181211374973,NaN,FALSE,424
"12_13-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0212816129222425,0,1.40630637705823,NaN,FALSE,427
"15_16-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0317460317460317,0,1.43086101702961,NaN,FALSE,525
"11_12-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0190381348485736,0,1.40076306838752,NaN,FALSE,460
"11_13-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.00827229098257136,0,1.36451351215221,NaN,TRUE,191
"07_12-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0184399670083657,0,1.39702447586928,NaN,FALSE,448
"09_16-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0113830728398702,0,1.37681095136353,NaN,FALSE,346
"19_22-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0446301334369737,0,1.46306145670176,NaN,FALSE,201
"10_11-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0175238818245081,0,1.39349272222925,NaN,FALSE,172
"08_16-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0175934098264195,0,1.39092949953881,NaN,FALSE,330
"20_21-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0328103639085997,0,1.43094310680317,NaN,FALSE,211
"10_13-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.00915913254151155,0,1.36493992602453,NaN,TRUE,139
"20_25-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.013875983398377,0,1.38416960523071,NaN,FALSE,271
"21_22-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.00916205382706623,0,1.36553953374323,NaN,TRUE,134
"11_15-merge","SimpleGDIUniformityCheck",FALSE,1.37,0.01,0,0.0194344233678576,0,1.40565998364984,NaN,FALSE,450
