"","class","check.isCheckAbove","check.GDIThreshold","check.maxRatioBeyond","check.maxRankBeyond","check.fractionBeyond","check.thresholdRank","check.quantileAtRatio","check.quantileAtRank","isUniform","clusterSize"
"01_0000","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0143756134172392,0,1.41383205891678,NaN,FALSE,415
"01_0001","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00217657461569854,0,1.33987229818184,NaN,TRUE,392
"01_0002","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0386118133762354,0,1.48480932957536,NaN,FALSE,368
"01_0003","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00189174345517788,0,1.35714279188269,NaN,TRUE,348
"01_0004","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00349755773985407,0,1.36647367720884,NaN,TRUE,338
"01_0005","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0169491525423729,0,1.43455114272187,NaN,FALSE,286
"01_0006","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00723938223938224,0,1.3859604131011,NaN,TRUE,265
"01_0007","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00996614067590877,0,1.3997484548472,NaN,TRUE,253
"01_0008","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0,0,1.22073879686755,NaN,TRUE,194
"01_0009","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0056687898089172,0,1.37434765198077,NaN,TRUE,187
"01_0010","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00707662274280137,0,1.38733292804396,NaN,TRUE,145
"01_0011","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000123563573458544,0,1.30480994338465,NaN,TRUE,138
"01_0012","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00117038314648269,0,1.32825254860396,NaN,TRUE,133
"01_0013","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0,0,1.20177930428497,NaN,TRUE,131
"01_0014","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0403184573807611,0,1.52131693640961,NaN,FALSE,112
"01_0015","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000775959367945824,0,1.30402435927945,NaN,TRUE,78
"01_0016","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000835480052913737,0,1.30242929143057,NaN,TRUE,78
"01_0017","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000361141206211629,0,1.29774504716184,NaN,TRUE,56
"02_0000","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.011333914559721,0,1.40419455192103,NaN,FALSE,388
"02_0001","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0124627265081428,0,1.41856806211097,NaN,FALSE,284
"02_0002","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0397720383169637,0,1.48905357371494,NaN,FALSE,206
"02_0003","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0297755721798385,0,1.49085923580082,NaN,FALSE,112
"02_0004","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000828130972098357,0,1.3106973404418,NaN,TRUE,79
"02_0005","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00514906871781832,0,1.37128666436671,NaN,TRUE,64
"03_0000","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000769033581133043,0,1.30488753559552,NaN,TRUE,219
"03_0001","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0383452280149994,0,1.48239550628633,NaN,FALSE,209
"03_0002","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.015039526961887,0,1.4189483656408,NaN,FALSE,172
"03_0003","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000955052826359458,0,1.32533924060513,NaN,TRUE,143
"03_0004","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000253405131453912,0,1.29661406365522,NaN,TRUE,100
"03_0005","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0169284733872198,0,1.43937309849065,NaN,FALSE,81
"03_0006","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0,0,1.24008747347176,NaN,TRUE,64
"04_0000","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000239549646664271,0,1.29037341602225,NaN,TRUE,159
"04_0001","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000864784730372475,0,1.31231331260156,NaN,TRUE,112
"04_0002","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0224792023128208,0,1.44685292199683,NaN,FALSE,100
"04_0003","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.017242694743267,0,1.44326057550357,NaN,FALSE,81
