"","class","check.isCheckAbove","check.GDIThreshold","check.maxRatioBeyond","check.maxRankBeyond","check.fractionBeyond","check.thresholdRank","check.quantileAtRatio","check.quantileAtRank","isUniform","clusterSize"
"03","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00217657461569854,0,1.33987229818184,NaN,TRUE,392
"12","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00189174345517788,0,1.35714279188269,NaN,TRUE,348
"15","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00349755773985407,0,1.36647367720884,NaN,TRUE,338
"24","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00723938223938224,0,1.3859604131011,NaN,TRUE,265
"23","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00996614067590877,0,1.3997484548472,NaN,TRUE,253
"05","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0,0,1.22073879686755,NaN,TRUE,194
"16","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.0056687898089172,0,1.37434765198077,NaN,TRUE,187
"19","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00707662274280137,0,1.38733292804396,NaN,TRUE,145
"25","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000123563573458544,0,1.30480994338465,NaN,TRUE,138
"20","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00117038314648269,0,1.32825254860396,NaN,TRUE,133
"04","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0,0,1.20177930428497,NaN,TRUE,131
"21","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000775959367945824,0,1.30402435927945,NaN,TRUE,78
"14","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000835480052913737,0,1.30242929143057,NaN,TRUE,78
"22","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000361141206211629,0,1.29774504716184,NaN,TRUE,56
"13","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000828130972098357,0,1.3106973404418,NaN,TRUE,79
"17","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00514906871781832,0,1.37128666436671,NaN,TRUE,64
"01","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000769033581133043,0,1.30488753559552,NaN,TRUE,219
"08","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000955052826359458,0,1.32533924060513,NaN,TRUE,143
"07","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000253405131453912,0,1.29661406365522,NaN,TRUE,100
"02","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0,0,1.24008747347176,NaN,TRUE,64
"09","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000239549646664271,0,1.29037341602225,NaN,TRUE,159
"11","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.000864784730372475,0,1.31231331260156,NaN,TRUE,112
"10","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00172999295188057,0,1.33635771917637,NaN,TRUE,60
"18","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00604080626271343,0,1.37398251173424,NaN,TRUE,52
"06","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,0.00697471665213601,0,1.3827431362604,NaN,TRUE,50
"-1","SimpleGDIUniformityCheck",FALSE,1.4,0.01,0,NaN,0,NaN,NaN,FALSE,253
