"tau","events","genes","mean_contrast","in_core","frac_in_core"
0.01,53,14,0.339357523598189,0,0
0.02,52,13,0.345145574784882,0,0
0.03,51,12,0.350228915802923,0,0
0.04,47,9,0.375053256718784,0,0
0.05,46,8,0.382169052902982,0,0
0.06,43,7,0.40255556008013,0,0
0.07,40,5,0.427549187502065,0,0
0.08,39,4,0.436523625105361,0,0
0.09,38,3,0.445705832005507,0,0
0.1,38,3,0.445705832005507,0,0
0.11,38,3,0.445705832005507,0,0
0.12,38,3,0.445705832005507,0,0
0.13,37,2,0.436529980303525,0,0
0.14,37,2,0.436529980303525,0,0
0.15,32,2,0.436567921691097,0,0
0.16,22,2,0.444434106323034,0,0
0.17,7,2,0.447126165138119,0,0
0.18,3,2,0.454425665346124,0,0
0.19,3,2,0.454425665346124,0,0
0.2,3,2,0.454425665346124,0,0
0.21,3,2,0.454425665346124,0,0
0.22,3,2,0.454425665346124,0,0
0.23,3,2,0.454425665346124,0,0
0.24,2,1,0.562455201623146,0,0
0.25,2,1,0.562455201623146,0,0
0.26,2,1,0.562455201623146,0,0
0.27,2,1,0.562455201623146,0,0
0.28,0,0,NA,0,NA
0.29,0,0,NA,0,NA
0.3,0,0,NA,0,NA
