"tau","events","genes","mean_contrast","in_core","frac_in_core"
0.01,53,14,0.285312585634932,0,0
0.02,53,14,0.285312585634932,0,0
0.03,52,13,0.289940327766309,0,0
0.04,50,11,0.298537621120486,0,0
0.05,46,8,0.317844291796729,0,0
0.06,42,6,0.339813605192131,0,0
0.07,41,5,0.346309765721499,0,0
0.08,41,5,0.346309765721499,0,0
0.09,41,5,0.346309765721499,0,0
0.1,40,4,0.352404265879219,0,0
0.11,39,4,0.354967132484098,0,0
0.12,38,3,0.357524405321812,0,0
0.13,38,3,0.357524405321812,0,0
0.14,37,2,0.353504087267006,0,0
0.15,37,2,0.353504087267006,0,0
0.16,37,2,0.353504087267006,0,0
0.17,36,2,0.355218367536264,0,0
0.18,36,2,0.355218367536264,0,0
0.19,36,2,0.355218367536264,0,0
0.2,36,2,0.355218367536264,0,0
0.21,36,2,0.355218367536264,0,0
0.22,36,2,0.355218367536264,0,0
0.23,36,2,0.355218367536264,0,0
0.24,34,2,0.356678595272182,0,0
0.25,22,2,0.370320739593999,0,0
0.26,21,2,0.373000756035196,0,0
0.27,20,1,0.377307478494979,0,0
0.28,19,1,0.362265049179262,0,0
0.29,7,1,0.33651470979756,0,0
0.3,0,0,NA,0,NA
