"Gene_ID","Gene_Name","Transcript_A","Transcript_B","COEX_Score","P_Value","Enriched_Cell_Types_A","Enriched_Cell_Types_B","Max_Contrast_A","Max_Contrast_B"
"ENSMUSG00000021268","Meg3","ENSMUST00000146701","ENSMUST00000246047",-0.173513665795326,1.58477257711549e-28,"07; 08; 09; 10; 11; 12","-1; 02; 03; 04; 05; 06",0.278827776141963,0.663113635493595
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000146701",-0.160023406147957,1.65185536997982e-24,"-1; 02; 03; 04; 05; 06","07; 08; 09; 10; 11; 12",0.628498934459598,0.282083995521846
"ENSMUSG00000092341","Malat1","ENSMUST00000173499","ENSMUST00000245771",-0.104165658354759,2.90866904473516e-11,"08; 10; 11; 12","-1; 02; 03; 04; 05; 06",0.266395780952275,0.28686630683954
"ENSMUSG00000092341","Malat1","ENSMUST00000173499","ENSMUST00000245150",-0.0728428140282631,3.30145272640185e-06,"08; 09; 10; 11; 12","-1; 02; 04; 05; 06",0.169653886892997,0.291789997573747
"ENSMUSG00000039218","Srrm2","ENSMUST00000088621","ENSMUST00000186961",-0.05929946154356,0.000152874436723684,"10","09; 11",0.252452468288943,0.104434521240673
"ENSMUSG00000039218","Srrm2","ENSMUST00000088621","ENSMUST00000233636",-0.0586933195590973,0.00017849906699611,"10","09; 11",0.25779076465096,0.117917136774474
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000247387",-0.0433006957173347,0.00569560283727536,"02; 04; 05; 06","11; 12",0.337541489817411,0.291575003556661
"ENSMUSG00000063511","Snrnp70","ENSMUST00000074575","ENSMUST00000211178",-0.0423766262829304,0.0068138738638298,"-1; 12","07",0.0589651664702729,0.0568114807135369
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246553",-0.0423276051878929,0.00687836703610533,"02; 04; 05; 06","11; 12",0.335970884887812,0.291605612570819
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000245180",-0.0420389883220196,0.00726931969003666,"-1; 02; 04; 05; 06","11; 12",0.330622881620579,0.29625176906071
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246499",-0.0419463850557804,0.00739891785272675,"-1; 02; 04; 05; 06","11; 12",0.330102346344955,0.292646799389146
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000247387",-0.0415597297251225,0.00796271946532261,"02; 04; 05; 06","11; 12",0.372156190851407,0.288318784176778
"ENSMUSG00000021268","Meg3","ENSMUST00000129245","ENSMUST00000246427",-0.0410018749535084,0.00884398830473951,"02; 04; 05; 06","11; 12",0.328260339146111,0.29286090272304
"ENSMUSG00000021268","Meg3","ENSMUST00000246047","ENSMUST00000246553",-0.0406251139938831,0.00948747661500211,"02; 04; 05; 06","11; 12",0.370585585921808,0.288349393190937
