ENST00000003912	NIPAL3
ENST00000008440	SPRTN
ENST00000009105	CAMK1G
ENST00000010299	FAM76A
ENST00000011700	VPS13D
ENST00000054650	THAP3
ENST00000054666	VAMP3
ENST00000078527	PIGV
ENST00000164247	KCNAB2
ENST00000166244	EPHA8
ENST00000167825	ARHGEF10L
ENST00000196061	PLOD1
ENST00000207457	TEKT2
ENST00000209884	KLHL20
ENST00000209929	FMO2
ENST00000230113	LINC01702
ENST00000234549	FAM76A
ENST00000234610	MMP23A
ENST00000234626	CDC7
ENST00000234677	SARS1
ENST00000234701	CLCA1
ENST00000234739	BCL9
ENST00000234827	TCEANC2
ENST00000234961	OPRD1
ENST00000235307	C1orf21
ENST00000235329	MFN2
ENST00000235332	MIIP
ENST00000235372	PRDM2
ENST00000235382	RGS2
ENST00000235933	CD160
ENST00000236067	ATP6V0B
ENST00000236166	FMO6P
ENST00000236255	GRHL3
ENST00000236342	DHDDS
ENST00000236412	PPP1R8
ENST00000236495	SLC5A9
ENST00000236914	NR5A2
ENST00000236925	CAMSAP2
ENST00000236937	FCGR2B
ENST00000236938	FCRLA
ENST00000237247	SGIP1
ENST00000238181	LGALS8
ENST00000239461	PRRX1
ENST00000239462	TNN
ENST00000240185	TARDBP
ENST00000240189	PRAMEF2
ENST00000241337	GSTM2
ENST00000242719	RNF11
ENST00000243167	FAAH
ENST00000243611	C4BPB
ENST00000245564	MSTO1
ENST00000245811	AL078645.2
ENST00000246151	PITHD1
ENST00000246314	AGO3
ENST00000246337	UROD
ENST00000251296	IGSF21
ENST00000251424	CFHR4
ENST00000251507	RABGAP1L
ENST00000251546	FBXO44
ENST00000251547	FBXO44
ENST00000252992	CEP85
ENST00000253063	SESN2
ENST00000253251	UBE4B
ENST00000254231	LIN28A
ENST00000254521	HSD17B7
ENST00000254724	AL391994.1
ENST00000255039	HAPLN2
ENST00000255040	APCS
ENST00000255108	DPH2
ENST00000255380	CHRM3
ENST00000255432	LGR6
ENST00000256578	AMPD2
ENST00000256592	TSHB
ENST00000256593	GSTM5
ENST00000256640	WNT2B
ENST00000256652	CD101
ENST00000256785	CFHR5
ENST00000257181	PRPF38A
ENST00000258243	URB2
ENST00000258317	NPL
ENST00000258341	LAMC1
ENST00000259154	KCTD3
ENST00000260506	FNBP1L
ENST00000260563	RTCA
ENST00000261454	PROX1
ENST00000261458	HHAT
ENST00000261461	PPP2R5A
ENST00000261464	TRAF5
ENST00000261465	HSD11B1
ENST00000262345	IL12RB2
ENST00000262662	CDKN2C
ENST00000262915	ST3GAL3
ENST00000263168	CAPZA1
ENST00000263174	PALMD
ENST00000263187	MSH4
ENST00000263285	LY9
ENST00000263440	ALG6
ENST00000263441	DNAJC6
ENST00000263688	SUCO
ENST00000263726	LHX4
ENST00000263733	FAM20B
ENST00000263831	DESI2
ENST00000263893	RWDD3
ENST00000263932	TNFRSF8
ENST00000263934	KIF1B
ENST00000263946	PKP1
ENST00000263979	MAN1C1
ENST00000264126	GPSM2
ENST00000264144	LAMC2
ENST00000270218	IL19
ENST00000270722	PRDM16
ENST00000270776	PGD
ENST00000270792	SH3BGRL3
ENST00000270812	ZNF593
ENST00000271064	TINAGL1
ENST00000271153	CYP4B1
ENST00000271227	SLC44A3
ENST00000271234	FNBP1L
ENST00000271277	CTTNBP2NL
ENST00000271324	CD53
ENST00000271331	PROK1
ENST00000271332	CELSR2
ENST00000271375	SFT2D2
ENST00000271385	STYXL2
ENST00000271411	POU2F1
ENST00000271450	FCGR2A
ENST00000271452	NUF2
ENST00000271469	UAP1
ENST00000271526	PRCC
ENST00000271583	TOR1AIP1
ENST00000271588	HMCN1
ENST00000271620	PRUNE1
ENST00000271636	CGN
ENST00000271640	SETDB1
ENST00000271643	ADAMTSL4
ENST00000271776	VASH2
ENST00000271836	ADAM15
ENST00000271857	SLC27A3
ENST00000271877	UBAP2L
ENST00000271889	CREB3L4
ENST00000271971	CAPN9
ENST00000272102	ARF1
ENST00000272133	CNIH3
ENST00000272167	EPHX1
ENST00000272193	SOX13
ENST00000272198	PPFIA4
ENST00000278878	PLCH2
ENST00000282169	UHMK1
ENST00000282670	TCTEX1D1
ENST00000282841	GGPS1
ENST00000282990	MR1
ENST00000283110	AL356292.1
ENST00000283225	OR14K1
ENST00000284054	CLCA3P
ENST00000284476	DISP1
ENST00000284523	WNT3A
ENST00000284548	OBSCN
ENST00000286031	C1orf112
ENST00000286193	HSD3BP1
ENST00000287727	ZFYVE9
ENST00000287859	ODR4
ENST00000289429	CD1A
ENST00000289451	OR10K1
ENST00000289707	SLAMF8
ENST00000289731	OR10J6P
ENST00000289749	NBL1
ENST00000289753	HTR6
ENST00000289815	VWA5B1
ENST00000289865	USP21
ENST00000289877	SLC45A1
ENST00000289893	MACF1
ENST00000289902	FCER1G
ENST00000290039	CACHD1
ENST00000290122	CELA3A
ENST00000290363	CIART
ENST00000290419	PPP1R12B
ENST00000290541	PSMB4
ENST00000290551	BTG2
ENST00000291358	IQCC
ENST00000292169	S100A1
ENST00000292176	ZBTB7B
ENST00000292180	FLAD1
ENST00000292254	RUSC1
ENST00000292357	PEAR1
ENST00000294337	CYP4A22
ENST00000294353	ZYG11B
ENST00000294409	GMEB1
ENST00000294428	RAVER2
ENST00000294435	RBP7
ENST00000294454	SLC25A34
ENST00000294484	DISP3
ENST00000294485	DRAXIN
ENST00000294489	PDPN
ENST00000294517	AZIN2
ENST00000294521	KIAA1522
ENST00000294600	CCDC27
ENST00000294638	LHX8
ENST00000294649	NTNG1
ENST00000294664	DNAI3
ENST00000294724	AGL
ENST00000294728	VCAM1
ENST00000294785	NCSTN
ENST00000294796	FCRLA
ENST00000294818	LRRC52
ENST00000294829	FAM71A
ENST00000294848	TDRD5
ENST00000294854	RGSL1
ENST00000294889	C1orf115
ENST00000294981	MAPKAPK2
ENST00000294984	IL24
ENST00000294997	CR1L
ENST00000295006	CAPN2
ENST00000295050	SPRTN
ENST00000295051	DISC1
ENST00000295294	BNIPL
ENST00000295367	SPRR3
ENST00000295530	FLAD1
ENST00000295542	DCST1
ENST00000295591	IGFN1
ENST00000295598	ATP1A1
ENST00000295640	RNPEP
ENST00000295694	TMEM79
ENST00000295706	PPFIA4
ENST00000295809	IFI16
ENST00000296218	DNALI1
ENST00000296380	EXO5
ENST00000302101	NHLH1
ENST00000302118	PCSK9
ENST00000302550	DESI2
ENST00000302692	SLC25A33
ENST00000303343	SLC50A1
ENST00000303635	CAMTA1
ENST00000303721	FGGY
ENST00000304244	GPR25
ENST00000304391	DISP3
ENST00000304465	SRGAP2C
ENST00000304685	RGL1
ENST00000304786	SRP9
ENST00000304979	PPIH
ENST00000305352	S1PR1
ENST00000305943	RNF187
ENST00000306121	SNX7
ENST00000306256	RER1
ENST00000306562	ZNF672
ENST00000307089	NSUN4
ENST00000307098	SPRR1B
ENST00000307297	PATJ
ENST00000307546	MAGI3
ENST00000307714	KHDRBS1
ENST00000307786	CALML6
ENST00000307896	THAP3
ENST00000308105	C1orf100
ENST00000308543	LGR6
ENST00000308647	ATAD3B
ENST00000308733	NFYC
ENST00000308987	CKS1B
ENST00000309048	CENPS
ENST00000309502	ADORA1
ENST00000309519	B4GALT2
ENST00000309691	FCRLA
ENST00000309758	HSPA6
ENST00000309851	GSTM1
ENST00000310055	RPL12P13
ENST00000310256	ARV1
ENST00000310260	VANGL1
ENST00000310611	CYB561D1
ENST00000310955	CDC20
ENST00000310961	LRRC7
ENST00000311066	PRDM2
ENST00000311672	UQCRH
ENST00000311772	PPP1R8
ENST00000312263	DCAF6
ENST00000312413	CLCN6
ENST00000312553	PODN
ENST00000312726	GUK1
ENST00000312753	GNRHR2
ENST00000312793	C1orf167
ENST00000313334	BTF3L4
ENST00000313431	PDE4DIP
ENST00000313835	GPR89A
ENST00000314163	GPR89B
ENST00000314340	AGTRAP
ENST00000314607	ZMYM4
ENST00000314668	FHAD1
ENST00000314754	CD55
ENST00000314835	MSTO2P
ENST00000315033	GPR88
ENST00000315091	TARDBP
ENST00000315144	FLAD1
ENST00000315554	CDC42
ENST00000315713	ABCD3
ENST00000315741	RPL5
ENST00000315781	SNAP47
ENST00000315901	RBP7
ENST00000315913	DMAP1
ENST00000316005	PKN2
ENST00000316156	MAP7D1
ENST00000316459	ZBTB8A
ENST00000316485	PATJ
ENST00000316721	MTX1
ENST00000317586	DISC1
ENST00000317704	AK5
ENST00000317861	OR14C36
ENST00000317868	ATG4C
ENST00000318074	SYTL1
ENST00000318104	OR2M1P
ENST00000318220	NBPF3
ENST00000318244	OR2AJ1
ENST00000318249	NBPF3
ENST00000318803	ST6GALNAC5
ENST00000318967	INTS3
ENST00000319041	SH3BGRL3
ENST00000319084	ZBTB48
ENST00000319223	LRRC42
ENST00000319394	WDTC1
ENST00000319416	TEX35
ENST00000319517	ADGRL2
ENST00000319653	FMN2
ENST00000319701	LINC01699
ENST00000319942	RABGGTB
ENST00000319968	OR2T8
ENST00000320002	OR2G3
ENST00000320065	OR2G2
ENST00000320139	PMF1-BGLAP
ENST00000320153	DDI2
ENST00000320161	SGIP1
ENST00000320334	OLFML3
ENST00000320493	CFHR1
ENST00000321265	NUDC
ENST00000321358	YBX1
ENST00000321418	AL450998.1
ENST00000321531	OAZ3
ENST00000321556	PINK1
ENST00000321935	FCRL6
ENST00000322209	NUDT4B
ENST00000322679	DIO1
ENST00000322753	MICOS10
ENST00000322875	CD46
ENST00000322918	CD46
ENST00000323223	TMEM78
ENST00000323699	DEGS1
ENST00000323848	SRRM1
ENST00000323938	LGALS8
ENST00000324048	ZNF687
ENST00000324350	AGO3
ENST00000324379	PPIE
ENST00000324778	RALGPS2
ENST00000324856	ARID1A
ENST00000324862	PRPF3
ENST00000324978	AQP10
ENST00000325425	SCNN1D
ENST00000325589	RABGAP1L
ENST00000325945	HAO2
ENST00000326233	LCE1D
ENST00000326279	LIN28A
ENST00000326413	RIIAD1
ENST00000326637	TNNI3K
ENST00000326729	GSTM4
ENST00000326734	FAM87B
ENST00000326813	DNAI3
ENST00000327086	AC138393.1
ENST00000327299	AK4
ENST00000327300	KHDRBS1
ENST00000327331	CDCA8
ENST00000327794	DNAH14
ENST00000328051	SPRR4
ENST00000328089	SPSB1
ENST00000328249	ERMAP
ENST00000328299	ST6GALNAC3
ENST00000328556	DNAH14
ENST00000328664	RHD
ENST00000328703	HAX1
ENST00000328713	GAPDHP24
ENST00000328928	THEMIS2
ENST00000329006	MANEAL
ENST00000329117	BCAN
ENST00000329256	S100A7A
ENST00000329281	BLZF1
ENST00000329291	PGBD2
ENST00000329454	SRARP
ENST00000329608	CSF1
ENST00000329654	PDE4B
ENST00000329800	TMCC2
ENST00000330010	NEXN
ENST00000330208	ST3GAL3
ENST00000330263	MRTO4
ENST00000330493	MGAT4EP
ENST00000330675	TMCC2
ENST00000330881	PRAMEF7
ENST00000330947	LRRC8B
ENST00000331380	H2AC20
ENST00000331433	CLCNKA
ENST00000331555	RHEX
ENST00000331565	SLC6A17
ENST00000331593	BMP8A
ENST00000331830	CNTN2
ENST00000331860	SPRR3
ENST00000332127	ZC3H11A
ENST00000332220	YBX1
ENST00000332296	PRAMEF1
